Date,Value
2001-01-01,92
2002-01-01,298
2003-01-01,82
2004-01-01,60
2005-01-01,64
2006-01-01,92
2007-01-01,154
2008-01-01,573
2009-01-01,1010
2010-01-01,385
2011-01-01,437
2012-01-01,663
2013-01-01,248
2014-01-01,231
2015-01-01,176
2016-01-01,1944
2017-01-01,4578
2018-01-01,9004
2019-01-01,13378
2020-01-01,16855
2021-01-01,17030
2022-01-01,51489
2023-01-01,102885
2024-01-01,145047
2001-02-01,102
2002-02-01,358
2003-02-01,96
2004-02-01,26
2005-02-01,75
2006-02-01,102
2007-02-01,173
2008-02-01,765
2009-02-01,885
2010-02-01,374
2011-02-01,1117
2012-02-01,721
2013-02-01,236
2014-02-01,173
2015-02-01,183
2016-02-01,2499
2017-02-01,4408
2018-02-01,7372
2019-02-01,12231
2020-02-01,16572
2021-02-01,20067
2022-02-01,58097
2023-02-01,107222
2024-02-01,141740
2001-03-01,114
2002-03-01,921
2003-03-01,148
2004-03-01,59
2005-03-01,89
2006-03-01,114
2007-03-01,231
2008-03-01,656
2009-03-01,720
2010-03-01,442
2011-03-01,505
2012-03-01,762
2013-03-01,218
2014-03-01,219
2015-03-01,222
2016-03-01,4519
2017-03-01,5990
2018-03-01,7695
2019-03-01,15158
2020-03-01,14066
2021-03-01,28108
2022-03-01,83101
2023-03-01,140920
2024-03-01,209813
2001-04-01,94
2002-04-01,148
2003-04-01,83
2004-04-01,62
2005-04-01,88
2006-04-01,94
2007-04-01,176
2008-04-01,759
2009-04-01,665
2010-04-01,375
2011-04-01,503
2012-04-01,442
2013-04-01,211
2014-04-01,252
2015-04-01,171
2016-04-01,3451
2017-04-01,5054
2018-04-01,7334
2019-04-01,11212
2020-04-01,975
2021-04-01,15023
2022-04-01,77613
2023-04-01,111358
2024-04-01,113345
2001-05-01,102
2002-05-01,168
2003-05-01,87
2004-05-01,45
2005-05-01,93
2006-05-01,102
2007-05-01,240
2008-05-01,912
2009-05-01,541
2010-05-01,338
2012-05-01,421
2013-05-01,226
2014-05-01,185
2015-05-01,193
2016-05-01,4002
2017-05-01,7053
2018-05-01,8266
2019-05-01,10092
2020-05-01,1310
2021-05-01,3605
2022-05-01,69919
2023-05-01,158470
2024-05-01,123868
2001-06-01,192
2002-06-01,79
2003-06-01,74
2004-06-01,43
2005-06-01,116
2006-06-01,192
2007-06-01,192
2008-06-01,1231
2009-06-01,523
2010-06-01,417
2011-06-01,538
2012-06-01,498
2013-06-01,211
2014-06-01,144
2015-06-01,288
2016-06-01,5116
2017-06-01,7508
2018-06-01,8828
2019-06-01,11161
2020-06-01,6489
2021-06-01,12332
2022-06-01,75881
2023-06-01,102646
2024-06-01,109302
2001-07-01,163
2002-07-01,67
2003-07-01,54
2004-07-01,52
2005-07-01,120
2006-07-01,163
2007-07-01,212
2008-07-01,1692
2009-07-01,583
2010-07-01,433
2011-07-01,490
2012-07-01,442
2013-07-01,196
2014-07-01,197
2015-07-01,381
2016-07-01,4375
2017-07-01,9043
2018-07-01,11398
2019-07-01,12481
2020-07-01,7799
2021-07-01,28167
2022-07-01,80877
2023-07-01,116622
2024-07-01,127912
2001-08-01,184
2002-08-01,88
2003-08-01,57
2004-08-01,32
2005-08-01,137
2006-08-01,184
2007-08-01,206
2008-08-01,1459
2009-08-01,458
2010-08-01,378
2011-08-01,498
2012-08-01,377
2013-08-01,167
2014-08-01,180
2015-08-01,710
2016-08-01,4018
2017-08-01,9169
2018-08-01,11791
2019-08-01,13261
2020-08-01,8558
2021-08-01,30833
2022-08-01,89011
2023-08-01,127205
2024-08-01,9371
2001-09-01,222
2002-09-01,70
2003-09-01,49
2004-09-01,56
2005-09-01,118
2006-09-01,222
2007-09-01,175
2008-09-01,1211
2009-09-01,495
2010-09-01,334
2011-09-01,550
2012-09-01,260
2013-09-01,220
2014-09-01,168
2015-09-01,968
2016-09-01,4173
2017-09-01,7735
2018-09-01,13590
2019-09-01,16144
2020-09-01,11349
2021-09-01,36601
2022-09-01,94914
2023-09-01,128557
2001-10-01,109
2002-10-01,72
2003-10-01,49
2004-10-01,58
2005-10-01,114
2006-10-01,109
2007-10-01,328
2008-10-01,1220
2009-10-01,610
2010-10-01,339
2011-10-01,630
2012-10-01,243
2013-10-01,247
2014-10-01,187
2015-10-01,1072
2016-10-01,6334
2017-10-01,7660
2018-10-01,14990
2019-10-01,15719
2020-10-01,11460
2021-10-01,40961
2022-10-01,117497
2023-10-01,140368
2001-11-01,141
2002-11-01,79
2003-11-01,35
2004-11-01,56
2005-11-01,87
2006-11-01,141
2007-11-01,565
2008-11-01,1304
2009-11-01,488
2010-11-01,415
2011-11-01,824
2012-11-01,355
2013-11-01,270
2014-11-01,210
2015-11-01,1249
2016-11-01,4898
2017-11-01,10084
2018-11-01,14112
2019-11-01,19008
2020-11-01,13384
2021-11-01,45094
2022-11-01,121596
2023-11-01,154143
2001-12-01,107
2002-12-01,68
2003-12-01,34
2004-12-01,61
2005-12-01,72
2006-12-01,107
2007-12-01,565
2008-12-01,993
2009-12-01,405
2010-12-01,398
2011-12-01,859
2012-12-01,289
2013-12-01,250
2014-12-01,234
2015-12-01,2181
2016-12-01,4505
2017-12-01,9116
2018-12-01,15877
2019-12-01,17033
2020-12-01,15854
2021-12-01,53755
2022-12-01,105006
2023-12-01,141947
