Date,Value
2015-01-01,176
2015-02-01,183
2015-03-01,222
2015-04-01,171
2015-05-01,193
2015-06-01,288
2015-07-01,381
2015-08-01,710
2015-09-01,968
2015-10-01,1072
2015-11-01,1249
2015-12-01,2181
2016-01-01,1944
2016-02-01,2499
2016-03-01,4519
2016-04-01,3451
2016-05-01,4002
2016-06-01,5116
2016-07-01,4375
2016-08-01,4018
2016-09-01,4173
2016-10-01,6334
2016-11-01,4898
2016-12-01,4505
2017-01-01,4578
2017-02-01,4408
2017-03-01,5990
2017-04-01,5054
2017-05-01,7053
2017-06-01,7508
2017-07-01,9043
2017-08-01,9169
2017-09-01,7735
2017-10-01,7660
2017-11-01,10084
2017-12-01,9116
2018-01-01,9004
2018-02-01,7372
2018-03-01,7695
2018-04-01,7334
2018-05-01,8266
2018-06-01,8828
2018-07-01,11398
2018-08-01,11791
2018-09-01,13590
2018-10-01,14990
2018-11-01,14112
2018-12-01,15877
2019-01-01,13378
2019-02-01,12231
2019-03-01,15158
2019-04-01,11212
2019-05-01,10092
2019-06-01,11161
2019-07-01,12481
2019-08-01,13261
2019-09-01,16144
2019-10-01,15719
2019-11-01,19008
2019-12-01,17033
2020-01-01,16855
2020-02-01,16572
2020-03-01,14066
2020-04-01,975
2020-05-01,1310
2020-06-01,6489
2020-07-01,7799
2020-08-01,8558
2020-09-01,11349
2020-10-01,11460
2020-11-01,13384
2020-12-01,15854
2021-01-01,17030
2021-02-01,20067
2021-03-01,28108
2021-04-01,15023
2021-05-01,3605
2021-06-01,12332
2021-07-01,28167
2021-08-01,30833
2021-09-01,36601
2021-10-01,40961
2021-11-01,45094
2021-12-01,53755
2022-01-01,51489
2022-02-01,58097
2022-03-01,83101
2022-04-01,77613
2022-05-01,69919
2022-06-01,75881
2022-07-01,80877
2022-08-01,89011
2022-09-01,94914
2022-10-01,117497
2022-11-01,121596
2022-12-01,105006
2023-01-01,102885
2023-02-01,107222
2023-03-01,140920
2023-04-01,111358
2023-05-01,158470
2023-06-01,102646
2023-07-01,116622
2023-08-01,127205
2023-09-01,128557
2023-10-01,140368
2023-11-01,154143
2023-12-01,141947
2024-01-01,145047
2024-02-01,141740
2024-03-01,209813
2024-04-01,113345
2024-05-01,123868
2024-06-01,109302
2024-07-01,127912
2024-08-01,9371
